Wavelength,Absorbance,Types
234.636,1.146,Transformer Oil
241.343,0.097,Sesame Oil
432.237,0.556,Refined Oil
385.832,0.867,Canola Oil
346.965,0.001,Flaxseed Oil
427.632,0.515,Refined Oil
228.545,2.143,Transformer Oil
359.845,0.006,Sesame Oil
504.952,1.515,Olive Oil
441.403,0.591,Sunflower Oil
413.89,0.004,Sesame Oil
208.666,2.496,Olive Oil
745.942,0.433,Sunflower Oil
327.545,0,Transformer Oil
333.941,0.002,Flaxseed Oil
328.818,0.168,Cannabis Oil
349.718,0.284,Dershani Oil
310.706,0.016,Flaxseed Oil
588.889,0.28,Peppermint Oil
315.025,0.28,Cannabis Oil
377.143,0.005,Sesame Oil
297.561,0.122,Transformer Oil
352.632,0.155,Crude Oil
225.091,2.654,Transformer Oil
240.482,0.054,Flaxseed Oil
395.559,0.005,Sesame Oil
330.155,0.003,Flaxseed Oil
254.909,0.442,Transformer Oil
276.286,0.576,Dershani Oil
431.499,2.728,Olive Oil
361.66,0.122,Carrot seed Oil
218.421,0.268,Refined Oil
264.706,0.841,Peppermint Oil
399.306,0.099,Coconut Oil
318.508,0.013,Sesame Oil
639.477,0.554,Olive Oil
419.079,0.382,Crude Oil
246.42,0.081,Sesame Oil
386.276,0.126,Orange Oil
765.132,9.28E-04,Crude Oil
267.791,0.076,Sesame Oil
285.118,0.047,Flaxseed Oil
204.838,0.908,Sunflower Oil
305.921,0.152,Refined Oil
227.939,2.235,Transformer Oil
663.411,1.303,Olive Oil
245.186,0.045,Flaxseed Oil
377.304,1.018,Canola Oil
734.801,0.433,Canola Oil
286.184,0.222,Crude Oil
326.359,0.122,Carrot seed Oil
507.895,0.246,Crude Oil
253.289,0.143,Crude Oil
719.858,0.05,Sunflower Oil
370.605,0.12,Raspberry Oil
314.32,0.013,Flaxseed Oil
236.265,0.109,Sesame Oil
225.221,0.097,Flaxseed Oil
280.743,1.842,Canola Oil
203.714,2.148,Olive Oil
282.478,0.073,Sesame Oil
250.327,1.755,Peppermint Oil
292.409,0.167,Transformer Oil
265.866,0.597,Dershani Oil
322.467,0.246,Raspberry Oil
297.453,0.035,Flaxseed Oil
278.404,1.493,Sunflower Oil
376.569,6.49E-04,Flaxseed Oil
256.273,0.456,Transformer Oil
237.964,1.071,Sunflower Oil
362.309,0.266,Orange Oil
341.265,2.535,Canola Oil
232.237,0.312,Refined Oil
247.826,0.04,Flaxseed Oil
657.634,0.881,Olive Oil
285.758,0.267,Transformer Oil
436.842,0.518,Crude Oil
236.096,0.842,Dershani Oil
419.742,0.004,Sesame Oil
227.86,0.085,Flaxseed Oil
312.045,0.032,Transformer Oil
418.627,0.289,Peppermint Oil
337.384,0.002,Flaxseed Oil
300.321,0.029,Sesame Oil
651.974,9.28E-04,Crude Oil
205.089,0.983,Canola Oil
320.318,0.01,Transformer Oil
242.547,0.05,Flaxseed Oil
223.934,1.156,Sunflower Oil
398.026,0.226,Crude Oil
239.908,0.055,Flaxseed Oil
209.491,1.082,Sunflower Oil
627.412,0.003,Refined Oil
236.364,0.871,Transformer Oil
354.832,0.14,Cannabis Oil
224.877,0.1,Flaxseed Oil
287.62,2.908,Canola Oil
335.577,0.727,Orange Oil
262.745,0.934,Peppermint Oil
306.285,0.316,Raspberry Oil
670.839,1.662,Olive Oil
302.751,3.678,Olive Oil
359.285,2.554,Sunflower Oil
293.494,0.04,Flaxseed Oil
295.497,0.127,Coconut Oil
235.136,1.033,Transformer Oil
309.221,0.251,Cannabis Oil
392.763,0.196,Crude Oil
301.833,0.104,Transformer Oil
369.601,1.847,Sunflower Oil
312.105,3.467,Canola Oil
307.544,0.673,Dershani Oil
307.263,0.022,Flaxseed Oil
277.315,0.05,Flaxseed Oil
346.768,2.141,Canola Oil
509.211,0.288,Refined Oil
200,1.114,Peppermint Oil
298.515,0.121,Transformer Oil
666.713,0.427,Canola Oil
350.522,0.001,Flaxseed Oil
710.454,0.438,Olive Oil
337.523,0.16,Raspberry Oil
398.83,0.004,Sesame Oil
384.457,1.245,Sunflower Oil
290.797,0.048,Sesame Oil
363.411,2.206,Sunflower Oil
394.636,0.755,Canola Oil
728.611,0.433,Sunflower Oil
287.298,0.058,Sesame Oil
242.794,0.591,Dershani Oil
659.43,0.003,Refined Oil
502.632,0.321,Crude Oil
417.418,8.44E-04,Flaxseed Oil
418.623,0.004,Sesame Oil
343.364,0,Transformer Oil
265.359,0.755,Peppermint Oil
513.072,0.298,Peppermint Oil
286.495,0.06,Sesame Oil
522.696,0.454,Sunflower Oil
614.718,0.443,Sunflower Oil
237.154,0.063,Flaxseed Oil
204.093,1.003,Sunflower Oil
